event_type,timestamp,job_id,job_planned_duration,job_remaining_duration,job_type,machine_id,machine_name,operator_id,operator_name,parts_made
job_added_to_store,5868.102851593871,462,10.709072062287106,2.399072062287283,JobType.MECHANICAL_MAINTENANCE,0,,,,
job_started,5868.102851593871,466,,,JobType.ELECTRICAL_MAINTENANCE,1,,0,Operator 0,
machine_part_completed,5872.033495132796,,,,,3,Machine 3,,,258
machine_part_completed,5881.677385935909,,,,,3,Machine 3,,,259
machine_part_completed,5890.707006970703,,,,,1,Machine 1,,,236
job_started,5890.707006970703,462,,,JobType.MECHANICAL_MAINTENANCE,0,,0,Operator 0,
machine_part_completed,5893.106079033043,,,,,0,Machine 0,,,211
job_started,5893.106079033043,460,,,JobType.SOFTWARE_UPDATE,4,,0,Operator 0,
machine_part_completed,5894.8162817316925,,,,,4,Machine 4,,,247
job_started,5894.8162817316925,465,,,JobType.SOFTWARE_UPDATE,2,,0,Operator 0,
machine_part_completed,5895.128406429803,,,,,3,Machine 3,,,260
machine_part_completed,5895.537669977938,,,,,1,Machine 1,,,237
on_machine_broken,5896.9034913389305,,,,,,,,,
job_added_to_store,5896.9034913389305,467,4.973445316755886,4.973445316755886,JobType.SOFTWARE_UPDATE,1,,,,
machine_part_completed,5898.977106428646,,,,,2,Machine 2,,,234
job_started,5898.977106428646,467,,,JobType.SOFTWARE_UPDATE,1,,0,Operator 0,
on_machine_broken,5903.249317397475,,,,,,,,,
job_added_to_store,5903.249317397475,468,14.170282927726145,14.170282927726145,JobType.ELECTRICAL_MAINTENANCE,4,,,,
